"TOA5","1","CR1000X","5122","CR1000X.Std.03.02","CPU:TDG_191227_Enc.CR1X","49734","CSI"
"TIMESTAMP","RECORD","Temp_Enc","Batt_Volt","RH_Enc"
"TS","RN","","",""
"","","Smp","Smp","Smp"
"2020-07-03 15:00:00",927,38.58,13.61,24.56
"2020-07-03 15:30:00",928,38.91,13.59,24.14
"2020-07-03 16:00:00",929,39.05,13.62,24.15
"2020-07-03 16:30:00",930,39.61,13.53,23.22
"2020-07-03 17:00:00",931,40.75,13.57,22.15
"2020-07-03 17:30:00",932,41.5,13.49,21.79
"2020-07-03 18:00:00",933,41.54,13.53,21.93
"2020-07-03 18:30:00",934,40.91,13.52,22.84
"2020-07-03 19:00:00",935,39.25,13.5,24.54
"2020-07-03 19:30:00",936,37.43,13.59,26.29
"2020-07-03 20:00:00",937,35.64,13.4,28.08
"2020-07-03 20:30:00",938,34.02,13.28,29.76
"2020-07-03 21:00:00",939,32.56,13.24,31.41
"2020-07-03 21:30:00",940,31.35,13.22,32.85
"2020-07-03 22:00:00",941,30.34,13.2,34.18
"2020-07-03 22:30:00",942,29.5,13.19,35.33
"2020-07-03 23:00:00",943,28.77,13.19,36.43
"2020-07-03 23:30:00",944,28.12,13.18,37.43
"2020-07-04 00:00:00",945,27.58,13.17,38.32
"2020-07-04 00:30:00",946,27.18,13.16,38.96
"2020-07-04 01:00:00",947,26.91,13.15,39.31
"2020-07-04 01:30:00",948,26.7,13.14,39.68
"2020-07-04 02:00:00",949,26.49,13.13,40.04
"2020-07-04 02:30:00",950,26.28,13.12,40.44
"2020-07-04 03:00:00",951,26.08,13.1,40.69
"2020-07-04 03:30:00",952,25.93,13.1,40.92
"2020-07-04 04:00:00",953,25.69,13.08,41.61
"2020-07-04 04:30:00",954,25.53,13.07,41.64
"2020-07-04 05:00:00",955,25.5,13.07,41.64
"2020-07-04 05:30:00",956,25.4,13.06,41.77
"2020-07-04 06:00:00",957,25.37,13.05,41.79
"2020-07-04 06:30:00",958,25.26,13.05,42.03
"2020-07-04 07:00:00",959,25.13,13.05,42.27
"2020-07-04 07:30:00",960,25.06,13.03,42.31
"2020-07-04 08:00:00",961,25.03,13.03,42.27
