"TOA5","1","CR1000X","5122","CR1000X.Std.03.02","CPU:TDG_191227_Enc.CR1X","49734","FWS"
"TIMESTAMP","RECORD","AirTemp","Humidity","Baro","Lat_deg","Lat_min","Long_deg","Long_min"
"TS","RN","","","","","","",""
"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2020-07-03 17:02:00",465,31.1,58.3,977,29,0.886,105,51
"2020-07-03 18:02:00",466,30.9,62.7,977,29,0.886,105,51
"2020-07-03 19:02:00",467,26.9,78.8,978,29,0.886,105,51
"2020-07-03 20:02:00",468,26.2,81,978,29,0.886,105,51
"2020-07-03 21:02:00",469,24,93.5,979,29,0.887,105,51
"2020-07-03 22:02:00",470,23.6,97.7,980,29,0.885,105,51
"2020-07-03 23:02:00",471,22.5,99,980,29,0.884,105,51
"2020-07-04 00:02:00",472,22.8,94.2,980,29,0.885,105,51
"2020-07-04 01:02:00",473,23.8,94.3,980,29,0.886,105,51
"2020-07-04 02:02:00",474,22.8,94.6,980,29,0.887,105,51
"2020-07-04 03:02:00",475,24,94.8,979,29,0.885,105,51
"2020-07-04 04:02:00",476,23,94.9,979,29,0.884,105,51
"2020-07-04 05:02:00",477,23.1,95.1,980,29,0.886,105,51
"2020-07-04 06:02:00",478,23,99.3,980,29,0.885,105,51
"2020-07-04 07:02:00",479,23.1,90.3,980,29,0.886,105,51
"2020-07-04 08:02:00",480,23.5,95.6,981,29,0.886,105,51
"2020-07-04 09:02:00",481,22.5,95.8,982,29,0.886,105,51
"2020-07-04 10:02:00",482,23.5,95.9,982,29,0.886,105,51
"2020-07-04 11:06:20",483,24.1,95.9,981,29,0.887,105,51
"2020-07-04 12:02:00",484,24,98.8,981,29,0.887,105,51
"2020-07-04 13:02:00",485,26.3,85.6,981,29,0.885,105,51
"2020-07-04 14:02:00",486,26.8,85.1,980,29,0.885,105,51
"2020-07-04 15:02:00",487,26.5,89.3,979,29,0.885,105,51
"2020-07-04 16:02:00",488,26,89.5,979,29,0.886,105,51
"2020-07-04 17:02:00",489,26.1,92.5,979,29,0.888,105,51
"2020-07-04 18:02:00",490,25.1,95.3,979,29,0.887,105,51
"2020-07-04 19:02:00",491,25.5,88.7,979,29,0.886,105,51
"2020-07-04 20:02:00",492,23.8,96.4,979,29,0.885,105,51
"2020-07-04 21:02:00",493,23.8,97.9,980,29,0.886,105,51
"2020-07-04 22:02:00",494,23.3,98,980,29,0.885,105,51
"2020-07-04 23:02:00",495,22.8,98.1,980,29,0.885,105,51
"2020-07-05 00:02:00",496,23.5,94.3,980,29,0.886,105,51
"2020-07-05 01:02:00",497,23.5,94.4,980,29,0.886,105,50.99
"2020-07-05 02:02:00",498,24.3,94.7,979,29,0.886,105,51
"2020-07-05 03:02:00",499,24.1,94.8,979,29,0.885,105,51
"2020-07-05 04:02:00",500,23.6,94.9,979,29,0.886,105,51
"2020-07-05 05:02:00",501,23.5,95.1,979,29,0.886,105,51
"2020-07-05 06:02:00",502,23,95.3,979,29,0.887,105,51
"2020-07-05 07:02:00",503,22.7,95.4,979,29,0.886,105,51
"2020-07-05 08:02:00",504,22.7,95.6,979,29,0.885,105,51
"2020-07-05 09:02:00",505,22.3,95.8,979,29,0.886,105,51
"2020-07-05 10:02:00",506,22.5,95.9,979,29,0.885,105,51
"2020-07-05 11:02:00",507,22.5,96.1,979,29,0.886,105,51
"2020-07-05 12:02:00",508,23.5,96.3,979,29,0.886,105,51
"2020-07-05 13:02:00",509,24.6,95.6,978,29,0.885,105,51
"2020-07-05 14:02:00",510,26,88,977,29,0.884,105,50.99
"2020-07-05 15:02:00",511,26.2,87.4,977,29,0.887,105,51
"2020-07-05 16:02:00",512,26.1,88.5,976,29,0.886,105,51
"2020-07-05 17:02:00",513,26,89.3,975,29,0.885,105,51
"2020-07-05 18:02:00",514,24.9,94.4,975,29,0.885,105,51
"2020-07-05 19:02:00",515,23.5,97.4,976,29,0.885,105,51
"2020-07-05 20:02:00",516,23,97.7,977,29,0.886,105,51
"2020-07-05 21:02:00",517,22.8,97.9,977,29,0.887,105,51
"2020-07-05 22:02:00",518,22.8,97.9,977,29,0.885,105,51
"2020-07-05 23:02:00",519,22.7,98.1,977,29,0.885,105,51
"2020-07-06 00:02:00",520,23,94.3,977,29,0.884,105,51
"2020-07-06 01:02:00",521,23,94.4,977,29,0.885,105,51
"2020-07-06 02:02:00",522,23,94.6,977,29,0.886,105,51
"2020-07-06 03:02:00",523,23,94.8,977,29,0.886,105,51
"2020-07-06 04:02:00",524,22.8,94.9,976,29,0.886,105,51
"2020-07-06 05:02:00",525,23,95.2,976,29,0.886,105,51
"2020-07-06 06:02:00",526,22.8,95.3,976,29,0.884,105,51
"2020-07-06 07:02:00",527,23,95.4,977,29,0.885,105,51
