"TOA5","1","CR1000X","5122","CR1000X.Std.03.02","CPU:TDG_191227_Enc.CR1X","49734","FWS2"
"TIMESTAMP","RECORD","FWS_Data(1)","FWS_Data(2)","FWS_Data(3)","FWS_Data(4)","FWS_Data(5)","FWS_Data(6)","FWS_Data(7)","FWS_Data(8)","FWS_Data(9)","FWS_Data(10)","FWS_Data(11)","FWS_Data(12)","FWS_Data(13)","FWS_Data(14)","FWS_Data(15)"
"TS","RN","","","","","","","","","","","","","","",""
"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2020-09-18 21:02:00",2471,"Dn=222D","Dm=222D","Dx=222D","Sn=005.5M","Sm=005.5M","Sx=005.5M","Ta=021.1C","Ua=097.5P","Pa=000992.5H","T=200918210145","La=29.0147790","N","Lo=105.8498130","E  ",""
"2020-09-18 22:02:00",2472,"Dn=222D","Dm=222D","Dx=222D","Sn=005.5M","Sm=005.5M","Sx=005.5M","Ta=021.0C","Ua=097.6P","Pa=000992.9H","T=200918220145","La=29.0147640","N","Lo=105.8497790","E  ",""
"2020-09-18 23:02:00",2473,"Dn=222D","Dm=222D","Dx=222D","Sn=005.5M","Sm=005.5M","Sx=005.5M","Ta=020.8C","Ua=097.8P","Pa=000992.7H","T=200918230145","La=29.0148100","N","Lo=105.8498020","E  ",""
"2020-09-19 00:02:00",2474,"Dn=222D","Dm=222D","Dx=222D","Sn=005.5M","Sm=005.5M","Sx=005.5M","Ta=020.7C","Ua=094.0P","Pa=000992.8H","T=200919000145","La=29.0148030","N","Lo=105.8498060","E  ",""
"2020-09-19 01:02:00",2475,"Dn=222D","Dm=222D","Dx=222D","Sn=005.5M","Sm=005.5M","Sx=005.5M","Ta=020.5C","Ua=094.1P","Pa=000992.7H","T=200919010144","La=29.0147910","N","Lo=105.8498250","E  ",""
"2020-09-19 02:02:00",2476,"Dn=222D","Dm=222D","Dx=222D","Sn=005.5M","Sm=005.5M","Sx=005.5M","Ta=020.5C","Ua=094.3P","Pa=000992.2H","T=200919020145","La=29.0147820","N","Lo=105.8498290","E  ",""
"2020-09-19 03:02:00",2477,"Dn=222D","Dm=222D","Dx=222D","Sn=005.5M","Sm=005.5M","Sx=005.5M","Ta=020.4C","Ua=094.5P","Pa=000991.8H","T=200919030144","La=29.0147850","N","Lo=105.8498330","E  ",""
"2020-09-19 04:02:00",2478,"Dn=222D","Dm=222D","Dx=222D","Sn=005.5M","Sm=005.5M","Sx=005.5M","Ta=020.0C","Ua=095.3P","Pa=000991.4H","T=200919040143","La=29.0147780","N","Lo=105.8498030","E  ",""
"2020-09-19 05:02:00",2479,"Dn=222D","Dm=222D","Dx=222D","Sn=005.5M","Sm=005.5M","Sx=005.5M","Ta=019.8C","Ua=094.8P","Pa=000991.2H","T=200919050144","La=29.0148050","N","Lo=105.8497930","E  ",""
"2020-09-19 06:02:00",2480,"Dn=222D","Dm=222D","Dx=222D","Sn=005.5M","Sm=005.5M","Sx=005.5M","Ta=019.8C","Ua=095.0P","Pa=000991.2H","T=200919060145","La=29.0148050","N","Lo=105.8497930","E  ",""
"2020-09-19 07:02:00",2481,"Dn=222D","Dm=222D","Dx=222D","Sn=005.5M","Sm=005.5M","Sx=005.5M","Ta=019.8C","Ua=095.1P","Pa=000991.6H","T=200919070144","La=29.0147820","N","Lo=105.8498080","E  ",""
"2020-09-19 08:02:00",2482,"Dn=222D","Dm=222D","Dx=222D","Sn=005.5M","Sm=005.5M","Sx=005.5M","Ta=020.3C","Ua=095.3P","Pa=000992.3H","T=200919080144","La=29.0147600","N","Lo=105.8498260","E  ",""
"2020-09-19 09:02:00",2483,"Dn=222D","Dm=222D","Dx=222D","Sn=005.5M","Sm=005.5M","Sx=005.5M","Ta=021.2C","Ua=097.3P","Pa=000992.6H","T=200919090145","La=29.0147770","N","Lo=105.8498290","E  ",""
"2020-09-19 10:02:00",2484,"Dn=222D","Dm=222D","Dx=222D","Sn=005.5M","Sm=005.5M","Sx=005.5M","Ta=023.8C","Ua=084.2P","Pa=000991.6H","T=200919100145","La=29.0148050","N","Lo=105.8498100","E  ",""
"2020-09-19 11:02:00",2485,"Dn=222D","Dm=222D","Dx=222D","Sn=005.5M","Sm=005.5M","Sx=005.5M","Ta=024.6C","Ua=079.8P","Pa=000990.7H","T=200919110144","La=29.0147930","N","Lo=105.8498230","E  ",""
"2020-09-19 12:02:00",2486,"Dn=222D","Dm=222D","Dx=222D","Sn=005.5M","Sm=005.5M","Sx=005.5M","Ta=027.3C","Ua=065.1P","Pa=000989.9H","T=200919120144","La=29.0148070","N","Lo=105.8498810","E  ",""
"2020-09-19 13:02:00",2487,"Dn=222D","Dm=222D","Dx=222D","Sn=005.5M","Sm=005.5M","Sx=005.5M","Ta=026.9C","Ua=058.5P","Pa=000988.7H","T=200919130145","La=29.0147530","N","Lo=105.8498400","E  ",""
"2020-09-19 14:02:00",2488,"Dn=222D","Dm=222D","Dx=222D","Sn=005.5M","Sm=005.5M","Sx=005.5M","Ta=026.8C","Ua=059.2P","Pa=000987.5H","T=200919140145","La=29.0147910","N","Lo=105.8498250","E  ",""
"2020-09-19 15:02:00",2489,"Dn=222D","Dm=222D","Dx=222D","Sn=005.5M","Sm=005.5M","Sx=005.5M","Ta=027.3C","Ua=058.4P","Pa=000986.6H","T=200919150144","La=29.0148060","N","Lo=105.8498150","E  ",""
"2020-09-19 16:02:00",2490,"Dn=222D","Dm=222D","Dx=222D","Sn=005.5M","Sm=005.5M","Sx=005.5M","Ta=026.4C","Ua=061.8P","Pa=000985.8H","T=000000000000","La=0","N","Lo=0","E  ",""
"2020-09-19 16:02:20",2491,"Dn=222D","Dm=222D","Dx=222D","Sn=005.5M","Sm=005.5M","Sx=005.5M","Ta=026.4C","Ua=061.8P","Pa=000985.8H","T=000000000000","La=0","N","Lo=0","E  ",""
"2020-09-19 16:02:40",2492,"Dn=222D","Dm=222D","Dx=222D","Sn=005.5M","Sm=005.5M","Sx=005.5M","Ta=026.4C","Ua=061.8P","Pa=000985.8H","T=000000000000","La=0","N","Lo=0","E  ",""
"2020-09-19 16:03:00",2493,"Dn=222D","Dm=222D","Dx=222D","Sn=005.5M","Sm=005.5M","Sx=005.5M","Ta=026.4C","Ua=063.5P","Pa=000985.8H","T=000000000000","La=0","N","Lo=0","E  ",""
