"TOA5","1","CR1000X","5122","CR1000X.Std.03.02","CPU:TDG_191227_Enc.CR1X","49734","SONDE1"
"TIMESTAMP","RECORD","Temp_C","SpCond_mS","Sal","TDS_ppt","pH","ORP_mV","DO_percent","DO_ppm","Turb_NTU","Chl_ppb","PC_ppb"
"TS","RN","","","","","","","","","","",""
"","","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp","Smp"
"2020-07-03 11:00:20",465,22.1,0.347,0.17,0.23,7.92,326.9,97,8.46,270.3,4.25,0.23
"2020-07-03 12:00:20",466,22.18,0.349,0.17,0.23,7.93,323,97.2,8.47,240.3,4.31,0.19
"2020-07-03 13:00:20",467,22.29,0.349,0.17,0.23,7.93,317.7,97.5,8.47,235.6,3.92,0.15
"2020-07-03 14:00:20",468,22.38,0.349,0.17,0.23,7.93,314.8,97.6,8.46,229.7,4.13,0.1
"2020-07-03 15:00:20",469,22.37,0.349,0.17,0.23,7.93,309.9,97.5,8.46,219.1,4.1,0.07
"2020-07-03 16:00:20",470,22.37,0.349,0.17,0.23,7.94,312.2,97.3,8.44,229.5,4.25,0.09
"2020-07-03 17:00:20",471,22.36,0.349,0.17,0.23,7.93,314.1,97.2,8.43,210.4,4.03,0.06
"2020-07-03 18:00:20",472,22.36,0.35,0.17,0.23,7.93,316.2,97,8.41,220.2,4.09,0.05
"2020-07-03 19:00:20",473,22.32,0.35,0.17,0.23,7.93,318.9,96.9,8.41,232.9,4.01,0.06
"2020-07-03 20:00:20",474,22.27,0.35,0.17,0.23,7.93,323.2,96.7,8.4,213.1,3.99,0.07
"2020-07-03 21:00:20",475,22.22,0.35,0.17,0.23,7.93,328.2,96.6,8.4,215.9,3.99,0.04
"2020-07-03 22:00:20",476,22.2,0.35,0.17,0.23,7.93,332.4,96.5,8.4,203.5,3.94,0.05
"2020-07-03 23:00:20",477,22.17,0.351,0.17,0.23,7.93,336.3,96.4,8.39,202.3,4.31,0.07
"2020-07-04 00:00:20",478,22.17,0.352,0.17,0.23,7.93,338.2,96.4,8.39,211.5,3.99,0.04
"2020-07-04 01:00:20",479,22.16,0.354,0.17,0.23,7.93,340.2,96.3,8.39,199.4,3.95,0.04
"2020-07-04 02:00:20",480,22.15,0.355,0.17,0.23,7.93,336.8,96.2,8.38,192.3,3.85,0.07
"2020-07-04 03:00:20",481,22.14,0.356,0.17,0.23,7.93,335.3,96.1,8.37,175.7,3.9,0.03
"2020-07-04 04:00:20",482,22.14,0.355,0.17,0.23,7.94,323.4,96,8.37,171.9,4.01,0
"2020-07-04 05:00:20",483,22.17,0.353,0.17,0.23,7.93,296.2,95.8,8.34,205.6,4.08,0.07
"2020-07-04 06:00:20",484,22.13,0.354,0.17,0.23,7.93,294.8,95.6,8.33,204.6,3.88,0.02
"2020-07-04 07:00:20",485,22.12,0.355,0.17,0.23,7.93,303.8,95.3,8.31,171.1,4.01,-0.02
"2020-07-04 08:00:20",486,22.1,0.355,0.17,0.23,7.92,313,95.3,8.31,168.7,3.86,-0.02
"2020-07-04 09:00:20",487,22.09,0.355,0.17,0.23,7.92,317.5,95.3,8.31,176.8,4.01,-0.02
"2020-07-04 10:00:20",488,22.09,0.354,0.17,0.23,7.91,319.6,95.3,8.31,157.6,3.94,-0.02
"2020-07-04 11:00:20",489,22.12,0.354,0.17,0.23,7.92,320.8,95.3,8.31,157,4.01,-0.04
"2020-07-04 12:00:20",490,22.13,0.354,0.17,0.23,7.92,319.3,95.4,8.31,154,3.88,-0.04
"2020-07-04 13:00:20",491,22.18,0.354,0.17,0.23,7.93,318.5,95.6,8.32,142.6,3.75,-0.07
"2020-07-04 14:00:20",492,22.22,0.353,0.17,0.23,7.93,318,95.8,8.34,143.7,3.75,-0.05
"2020-07-04 15:00:20",493,22.29,0.354,0.17,0.23,7.94,316.2,96,8.34,141.4,4.22,-0.11
"2020-07-04 16:00:20",494,22.3,0.354,0.17,0.23,7.94,315,96.1,8.35,139.5,3.91,-0.12
"2020-07-04 17:00:20",495,22.29,0.354,0.17,0.23,7.94,316,96.3,8.37,143.7,3.94,-0.1
"2020-07-04 18:00:20",496,22.28,0.354,0.17,0.23,7.94,314.9,96.2,8.36,138.1,3.67,-0.13
"2020-07-04 19:00:20",497,22.27,0.354,0.17,0.23,7.95,314.2,96.3,8.37,135,3.75,-0.12
"2020-07-04 20:00:20",498,22.26,0.354,0.17,0.23,7.95,316.4,96.2,8.36,127,3.77,-0.09
"2020-07-04 21:00:20",499,22.24,0.354,0.17,0.23,7.95,320.3,96.2,8.37,138.9,3.82,-0.09
"2020-07-04 22:00:20",500,22.22,0.354,0.17,0.23,7.95,324.6,96.2,8.37,139.9,3.82,-0.11
"2020-07-04 23:00:20",501,22.19,0.355,0.17,0.23,7.95,326.5,96.2,8.37,129.4,3.69,-0.11
"2020-07-05 00:00:20",502,22.17,0.355,0.17,0.23,7.95,330.8,96.1,8.37,122.9,3.72,-0.1
"2020-07-05 01:00:20",503,22.15,0.357,0.17,0.23,7.95,334.2,96.1,8.37,123.7,3.61,-0.12
"2020-07-05 02:00:20",504,22.12,0.358,0.17,0.23,7.95,333.1,96.1,8.38,118.3,3.59,-0.11
"2020-07-05 03:00:20",505,22.1,0.359,0.17,0.23,7.95,334.6,96.1,8.38,112.3,3.57,-0.15
"2020-07-05 04:00:20",506,22.08,0.36,0.17,0.23,7.95,336.8,96,8.37,110.4,3.58,-0.15
"2020-07-05 05:00:20",507,22.05,0.361,0.17,0.23,7.95,336.4,96,8.38,103.7,3.53,-0.14
"2020-07-05 06:00:20",508,22.03,0.361,0.17,0.23,7.95,334.1,95.9,8.38,110.7,3.75,-0.16
"2020-07-05 07:00:20",509,22,0.362,0.17,0.24,7.95,331.9,95.9,8.38,108,3.66,-0.13
"2020-07-05 08:00:20",510,21.98,0.363,0.17,0.24,7.95,327.3,95.8,8.37,105.2,3.59,-0.15
"2020-07-05 09:00:20",511,21.95,0.363,0.17,0.24,7.95,329,95.9,8.39,103,3.87,-0.17
"2020-07-05 10:00:20",512,21.93,0.364,0.17,0.24,7.95,325.1,95.8,8.38,108.6,3.7,-0.15
"2020-07-05 11:00:20",513,21.91,0.364,0.17,0.24,7.95,325.1,95.9,8.39,103.7,3.78,-0.15
"2020-07-05 12:00:20",514,21.91,0.364,0.17,0.24,7.95,325,96,8.4,98.7,3.67,-0.19
